Агенство -> Агентство
Ак -> Как
Аклиматизация -> Акклиматизация
Акуратность -> Аккуратность
Апеляция, Аппеляция -> Апелляция
Блюдов -> Блюд
Будующий -> Будущий
Вобщем, Вообщем -> В общем
Врядли -> Вряд ли
Врядтли -> Вряд ли
Выздоровем -> Выздоровеем
Выздоровете -> Выздоровеете
Выздоровит -> Выздоровеет
Выздоровишь -> Выздоровеешь
Выздоровлю -> Выздоровею
Выздоровят -> Выздоровеют
Грази -> Грацие
Грейзи -> Грацие
Грэйзи -> Грацие
Деклорация, Дикларация, Диклорация -> Декларация
Еденица -> Единица
Ездиет -> Ездит
Ездию, Ездю -> Езжу
Ездиют, Ездият -> Ездят
Етои -> Этой
Зараннее -> Заранее
Зароботать -> Заработать
Зароботок -> Заработок
Зделать -> Сделать
Здраствуйте -> Здравствуйте
Извените -> Извините
Индивидуев -> Индивидов
Ис-под-тишка -> Исподтишка
Ихнее, Ихняя, Ихнии, Ихний -> Их
Какбудто, Как-будто -> Как будто
Каклибо, Как либо -> Как-либо
Какнибудь, Как нибудь -> Как-нибудь
Контробанда -> Контрабанда
Контробандист -> Контрабандист
Корасика -> Корасик
Котории -> Которые
Красиые -> Красивые
Крема -> Кремы
Лешат -> Лишат
Лешили -> Лишили
Ложи -> Клади
Людеи -> Людей
Мороженное, Мароженое -> Мороженое
Наврядли -> Навряд ли
Не в терпеж -> Невтерпеж
Ньюанс -> Нюанс
Окружаеший -> Окружающий
Он-лайн -> Онлайн
Опостылем -> Опостылеем
Опостылете -> Опостылеете
Опостылит -> Опостылеет
Опостылишь -> Опостылеешь
Опостылю -> Опостылею
Опостылят -> Опостылеют
Опротивем -> Опротивеем
Опротивете -> Опротивеете
Опротивит -> Опротивеет
Опротивишь -> Опротивеешь
Опротивлю -> Опротивею
Опротивят -> Опротивеют
Отказвам -> Отказам, Отказываем
По-тихоньку -> Потихоньку
Подскользнуться -> Поскользнуться
Подстать -> Под стать
Попробывать -> Попробовать
Посажир, Посажыр -> Пассажир
Посажира, Посажыра -> Пассажира
Посажирам, Посажырам -> Пассажирам
Посажирами, Посажырами -> Пассажирами
Посажирах, Посажырах -> Пассажирах
Посажире, Посажыре -> Пассажире
Посажиров, Посажыров -> Пассажиров
Посажиром, Посажыром -> Пассажиром
Посажиру, Посажыру -> Пассажиру
Посажиры, Посажыры -> Пассажиры
Прецендент -> Прецедент
Придти -> Прийти
Приездил -> Приехал, Приезжал
Приездила -> Приехала, Приезжала
Приездили -> Приехали, Приезжали
Приездило -> Приехало, Приезжало
Приездим -> Приедем
Приездит -> Приедет
Приездит, Приездет -> Приедет
Приездите -> Приедете
Приездите, Приездете -> Приедете
Приездить -> Приезжать
Приездить -> Приехать
Приездишь -> Приедешь
Приездишь, Приездешь -> Приедешь
Приездю -> Приеду
Приездют, Приездят -> Приедут
Приездят -> Приедут
Приезжу, Приежу, Приежжу -> Приеду
Пробывать -> Пробовать
Расчитать -> Рассчитать
Роллс ройс -> Роллс-Ройс
Руссификация -> Русификация
Рыцарев -> Рыцарей
Сдел -> Сдал
Сдесь -> Здесь
Сечась -> Сейчас
Симпотично -> Симпатично
Сичас -> Сейчас
Скришнотов -> Скриншотов
Скурпулёзный -> Скрупулёзный
Собакин -> Собачий
Съэкономить, Секономить, Съекономить -> Сэкономить
Тринога -> Тренога
Тчо -> Что
Ухожер -> Ухажер
Ухожёр -> Ухажёр
Художно -> Художественно
Через чур, Черезчур -> Чересчур
Чтоли -> Что ли
Чутьли -> Чуть ли
Шлакбаум -> Шлагбаум
Экстримально -> Экстремально
агенство -> агентство
ак -> как
аклиматизация -> акклиматизация
акуратность -> аккуратность
апеляция, аппеляция -> апелляция
блюдов -> блюд
будующий -> будущий
вобщем, вообщем -> в общем
врядли -> вряд ли
врядтли -> вряд ли
выздоровем -> выздоровеем
выздоровете -> выздоровеете
выздоровит -> выздоровеет
выздоровишь -> выздоровеешь
выздоровлю -> выздоровею
выздоровят -> выздоровеют
грази -> грацие
грейзи -> грацие
грэйзи -> грацие
деклорация, дикларация, диклорация -> декларация
еденица -> единица
ездиет -> ездит
ездию, ездю -> езжу
ездиют, ездият -> ездят
етои -> этой
зараннее -> заранее
зароботать -> заработать
зароботок -> заработок
зделать -> сделать
здраствуйте -> здравствуйте
извените -> извините
индивидуев -> индивидов
ис-под-тишка -> исподтишка
ихнее, ихняя, ихнии, ихний -> их
какбудто, как-будто -> как будто
каклибо, как либо -> как-либо
какнибудь, как нибудь -> как-нибудь
контробанда -> контрабанда
контробандист -> контрабандист
котории -> которые
красиые -> красивые
крема -> кремы
куран, Куран -> Коран
лешат -> лишат
лешили -> лишили
ложи -> клади
людеи -> людей
мороженное, мароженое -> мороженое
наврядли -> навряд ли
не в терпеж -> невтерпеж
ньюанс -> нюанс
окружаеший -> окружающий
он-лайн -> онлайн
опостылем -> опостылеем
опостылете -> опостылеете
опостылит -> опостылеет
опостылишь -> опостылеешь
опостылю -> опостылею
опостылят -> опостылеют
опротивем -> опротивеем
опротивете -> опротивеете
опротивит -> опротивеет
опротивишь -> опротивеешь
опротивлю -> опротивею
опротивят -> опротивеют
отказвам -> отказам, отказываем
по-тихоньку -> потихоньку
подскользнуться -> поскользнуться
подстать -> под стать
попробывать -> попробовать
посажир, посажыр -> пассажир
посажира, посажыра -> пассажира
посажирам, посажырам -> пассажирам
посажирами, посажырами -> пассажирами
посажирах, посажырах -> пассажирах
посажире, посажыре -> пассажире
посажиров, посажыров -> пассажиров
посажиром, посажыром -> пассажиром
посажиру, посажыру -> пассажиру
посажиры, посажыры -> пассажиры
прецендент -> прецедент
придти -> прийти
приездил -> приехал, приезжал
приездила -> приехала, приезжала
приездили -> приехали, приезжали
приездило -> приехало, приезжало
приездим -> приедем
приездит -> приедет
приездит, приездет -> приедет
приездите -> приедете
приездите, приездете -> приедете
приездить -> приезжать
приездить -> приехать
приездишь -> приедешь
приездишь, приездешь -> приедешь
приездю -> приеду
приездют, приездят -> приедут
приездят -> приедут
приезжу, приежу, приежжу -> приеду
пробывать -> пробовать
расчитать -> рассчитать
роллс ройс -> роллс-ройс
руссификация -> русификация
рыцарев -> рыцарей
сдел -> сдал
сдесь -> здесь
сечась -> сейчас
симпотично -> симпатично
сичас -> сейчас
скришнотов -> скриншотов
скурпулёзный -> скрупулёзный
собакин -> собачий
съэкономить, секономить, съекономить -> сэкономить
тринога -> тренога
тчо -> что
ухожер -> ухажер
ухожёр -> ухажёр
художно -> художественно
через чур, черезчур -> чересчур
чтоли -> что ли
чутьли -> чуть ли
шлакбаум -> шлагбаум
экстримально -> экстремально
